cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
20,GL,1567219831,58,60.72,-46.03,44.6,4.7
38,IN,1567219831,87,21.68,79.73,80.98,0.29
90,PG,1567219831,65,-6.12,141.3,83.68,4.36
10,TZ,1567219824,79,-3.17,33.8,66.4,3.69
75,BF,1567219831,88,12.07,-1.34,75.2,6.93
11,YE,1567219832,66,15.17,44.32,72.88,0.78
0,AR,1567219832,82,-51.62,-69.23,39.2,13.87
0,RU,1567219832,54,66.77,123.37,60.82,4.21
0,AU,1567219832,6,-15.77,128.74,86,13.87
0,AT,1567219832,82,47.84,13.25,64.4,6.93
20,US,1567219833,66,21.44,-157.84,87.8,9.17
0,BR,1567219833,88,-11.69,-41.77,62.44,9.4
75,TO,1567219833,69,-18.65,-173.98,75.2,11.41
99,CO,1567219833,63,5.53,-74.53,68.56,4.68
75,CU,1567219833,88,22.45,-80.18,77,1.12
0,FR,1567219834,93,47.55,-2.56,60.8,2.24
100,RU,1567219834,96,67.94,32.93,53.62,11.03
20,MX,1567219834,66,20.71,-105.21,84.2,6.93
9,NA,1567219834,20,-20.11,16.16,55.4,1.12
0,CD,1567219732,45,-7.04,29.76,63.52,4.52
26,ET,1567219834,88,7.14,40.71,57.22,6.55
100,IN,1567219835,83,20.51,76.21,75.94,6.17
0,CD,1567219835,45,-7.04,29.77,63.52,4.52
0,LY,1567219835,46,29.14,21.3,72.88,10.18
100,LV,1567219835,96,57.63,25.69,55,2.95
0,CY,1567219835,88,34.92,32.53,80.6,6.93
82,RU,1567219836,48,55.93,110.1,62.62,2.73
0,CN,1567219836,42,36.09,120.35,82.99,4.47
75,JP,1567219836,88,42.53,140.93,80.01,18.34
66,IN,1567219836,63,27.5,88.54,70.72,2.89
28,NZ,1567219836,74,-35.17,173.16,66,1.01
100,NO,1567219675,100,69.97,23.27,53.6,5.82
100,AO,1567219837,91,-5.56,12.19,71.98,10.85
48,ML,1567219727,78,13.3,-4.9,77.74,6.22
12,PG,1567219837,61,-9.07,143.21,81.7,9.91
100,NO,1567219837,85,68.56,14.91,55.99,7.7
25,PE,1567219838,93,-10.75,-77.76,60.1,12.3
0,BY,1567219838,95,52.8,28,60.46,5.37
80,NG,1567219838,89,12.12,6.75,73.24,5.91
